,best_solution,best_solution_step,min_time_between_best,max_time_between_best,avg_time_between_best,first_solution,last_solution,valid_states,invalid_states,repeated_valid_states,repeated_invalid_states,first_invalid_state,last_invalid_state,actions,repeated_actions,local_optimums_found,best_found_local_optimum,graph_size
0,9.0,9,1,1,1.0,0.0,0.0,39,0,1,0,-1,0,20,16,14,True,20
1,11.0,25,1,13,2.4,0.0,10.0,35,0,3,0,-1,0,19,10,15,True,20
2,9.0,11,1,3,1.25,0.0,8.0,41,0,0,0,-1,0,19,15,13,True,20
3,11.0,11,1,1,1.0,0.0,8.0,41,0,0,0,-1,0,19,14,10,True,20
4,11.0,11,1,1,1.0,0.0,0.0,39,0,2,0,-1,0,18,15,11,True,20
5,12.0,12,1,1,1.0,0.0,10.0,41,0,0,0,-1,0,20,14,14,True,20
6,10.0,20,1,11,2.111111111111111,0.0,0.0,41,0,0,0,-1,0,19,16,13,True,20
7,11.0,11,1,1,1.0,0.0,0.0,38,0,1,0,-1,0,19,13,11,True,20
8,10.0,10,1,1,1.0,0.0,0.0,40,0,1,0,-1,0,20,15,13,True,20
9,10.0,10,1,1,1.0,0.0,8.0,41,0,0,0,-1,0,19,15,10,True,20
10,14.0,20,1,7,1.4615384615384615,0.0,0.0,80,0,1,0,-1,0,37,30,13,True,40
11,16.0,18,1,3,1.1333333333333333,0.0,0.0,81,0,0,0,-1,0,37,30,13,True,40
12,15.0,15,1,1,1.0,0.0,0.0,79,0,2,0,-1,0,37,32,15,True,40
13,17.0,21,1,3,1.25,0.0,0.0,76,0,3,0,-1,0,37,31,11,True,40
14,14.0,18,1,5,1.3076923076923077,0.0,10.0,76,0,3,0,-1,0,35,32,12,True,40
15,16.0,16,1,1,1.0,0.0,0.0,78,0,3,0,-1,0,37,31,18,True,40
16,14.0,14,1,1,1.0,0.0,0.0,81,0,0,0,-1,0,37,30,14,True,40
17,16.0,16,1,1,1.0,0.0,0.0,78,0,3,0,-1,0,37,30,7,True,40
18,15.0,19,1,5,1.2857142857142858,0.0,0.0,81,0,0,0,-1,0,34,28,15,True,40
19,17.0,27,1,7,1.625,0.0,12.0,79,0,1,0,-1,0,36,31,14,True,40
20,18.0,20,1,3,1.1176470588235294,0.0,0.0,115,0,3,0,-1,0,55,43,10,True,60
21,17.0,23,1,7,1.375,0.0,0.0,111,0,2,0,-1,0,54,50,9,True,60
22,20.0,24,1,5,1.2105263157894737,0.0,0.0,115,0,3,0,-1,0,51,46,8,True,60
23,18.0,18,1,1,1.0,0.0,14.0,109,0,4,0,-1,0,51,46,4,True,60
24,16.0,16,1,1,1.0,0.0,0.0,113,0,4,0,-1,0,58,39,7,True,60
25,20.0,28,1,7,1.4210526315789473,0.0,0.0,115,0,4,0,-1,0,53,47,7,True,60
26,18.0,22,1,5,1.2352941176470589,0.0,0.0,110,0,6,0,-1,0,53,48,12,True,60
27,21.0,27,1,7,1.3,0.0,0.0,115,0,3,0,-1,0,49,44,6,True,60
28,18.0,18,1,1,1.0,0.0,12.0,112,0,5,0,-1,0,50,45,5,True,60
29,20.0,20,1,1,1.0,0.0,10.0,113,0,3,0,-1,0,49,43,5,True,60
30,19.0,23,1,5,1.2222222222222223,0.0,0.0,140,0,7,0,-1,0,77,59,6,True,80
31,18.0,18,1,1,1.0,0.0,0.0,134,0,8,0,-1,0,69,64,3,True,80
32,19.0,19,1,1,1.0,0.0,0.0,141,0,6,0,-1,0,73,56,4,True,80
33,21.0,21,1,1,1.0,0.0,8.0,141,0,7,0,-1,0,69,65,7,True,80
34,19.0,19,1,1,1.0,0.0,6.0,134,0,6,0,-1,0,75,72,34,True,80
35,22.0,26,1,5,1.1904761904761905,0.0,10.0,138,0,5,0,-1,0,69,64,9,True,80
36,19.0,19,1,1,1.0,0.0,10.0,133,0,7,0,-1,0,73,66,4,True,80
37,20.0,20,1,1,1.0,0.0,0.0,135,0,7,0,-1,0,73,55,16,True,80
38,22.0,34,1,9,1.5714285714285714,0.0,0.0,142,0,8,0,-1,0,69,61,9,True,80
39,22.0,22,1,1,1.0,0.0,0.0,141,0,10,0,-1,0,70,60,8,True,80
40,22.0,46,1,15,2.142857142857143,0.0,0.0,173,0,10,0,-1,0,94,80,11,True,100
41,23.0,25,1,3,1.0909090909090908,0.0,8.0,171,0,11,0,-1,0,88,83,5,True,100
42,21.0,29,1,5,1.4,0.0,0.0,167,0,12,0,-1,0,95,82,8,True,100
43,21.0,53,1,31,2.6,0.0,0.0,170,0,11,0,-1,0,92,78,10,True,100
44,22.0,22,1,1,1.0,0.0,8.0,168,0,11,0,-1,0,87,82,24,True,100
