,best_solution,best_solution_step,min_time_between_best,max_time_between_best,avg_time_between_best,first_solution,last_solution,valid_states,invalid_states,repeated_valid_states,repeated_invalid_states,first_invalid_state,last_invalid_state,actions,repeated_actions,local_optimums_found,best_found_local_optimum,graph_size
0,11.0,3,1,1,1.0,14.0,12.0,21,17,1,0,4,38,20,16,16,True,20
1,9.0,10,1,7,2.5,13.0,20.0,23,16,1,0,4,40,18,16,16,True,20
2,11.0,4,1,1,1.0,15.0,20.0,22,18,1,0,5,40,19,15,16,True,20
3,9.0,4,1,1,1.0,13.0,20.0,22,14,3,0,5,40,18,14,15,True,20
4,9.0,6,1,1,1.0,15.0,20.0,23,12,2,0,7,40,19,15,15,True,20
5,8.0,3,1,1,1.0,11.0,9.0,26,11,2,0,4,37,16,16,16,True,20
6,10.0,7,1,1,1.0,17.0,11.0,27,12,2,0,8,35,20,14,14,True,20
7,9.0,2,1,1,1.0,11.0,11.0,24,16,1,0,3,36,18,15,14,True,20
8,10.0,9,1,7,3.0,13.0,11.0,26,15,0,0,3,33,19,15,15,True,20
9,10.0,7,1,1,1.0,17.0,20.0,24,15,1,0,10,40,20,14,10,True,20
10,26.0,8,1,1,1.0,34.0,40.0,28,42,1,2,9,80,40,24,21,True,40
11,23.0,12,1,3,1.5,31.0,40.0,28,45,1,2,7,80,40,26,14,True,40
12,25.0,17,1,9,1.8888888888888888,34.0,40.0,33,45,0,2,9,80,40,26,11,True,40
13,23.0,8,1,1,1.0,31.0,40.0,30,44,1,3,9,80,40,24,16,True,40
14,26.0,25,1,9,2.7777777777777777,35.0,40.0,30,42,0,2,7,80,40,20,12,True,40
15,24.0,41,1,25,4.555555555555555,33.0,40.0,32,47,0,2,8,80,40,24,10,True,40
16,26.0,9,1,1,1.0,35.0,40.0,29,51,1,0,10,80,40,29,14,True,40
17,24.0,7,1,1,1.0,31.0,40.0,34,43,1,1,8,80,40,28,13,True,40
18,25.0,8,1,1,1.0,33.0,40.0,29,41,1,2,9,80,40,22,20,True,40
19,23.0,12,1,5,1.5,31.0,40.0,29,42,1,2,8,80,40,26,14,True,40
20,43.0,16,1,9,2.0,51.0,60.0,33,70,6,2,8,120,60,35,27,True,60
21,41.0,28,1,19,2.8,51.0,60.0,38,70,2,2,9,120,60,31,17,True,60
22,40.0,18,1,5,1.2857142857142858,54.0,60.0,38,75,3,2,14,120,60,35,22,True,60
23,41.0,28,1,17,2.3333333333333335,53.0,60.0,37,69,2,2,12,120,60,30,13,True,60
24,44.0,13,1,1,1.0,57.0,60.0,36,59,4,2,14,120,60,30,29,True,60
25,42.0,15,1,5,1.3636363636363635,53.0,60.0,34,75,6,2,10,120,60,36,25,True,60
26,42.0,41,1,29,3.1538461538461537,55.0,60.0,42,68,2,2,13,120,60,32,20,True,60
27,39.0,16,1,5,1.3333333333333333,51.0,60.0,43,76,2,0,12,120,60,36,19,True,60
28,41.0,28,1,9,2.3333333333333335,53.0,60.0,36,71,2,2,10,120,60,28,17,True,60
29,40.0,19,1,7,1.7272727272727273,51.0,60.0,39,71,2,2,8,120,60,33,18,True,60
30,59.0,38,1,15,3.1666666666666665,71.0,80.0,53,98,6,0,8,160,80,47,24,True,80
31,60.0,25,1,9,1.6666666666666667,75.0,80.0,39,107,4,0,14,160,80,46,27,True,80
32,60.0,29,1,13,2.230769230769231,73.0,80.0,56,89,4,0,11,160,80,50,15,True,80
33,59.0,24,1,9,2.0,71.0,80.0,39,109,5,0,11,160,80,46,22,True,80
34,61.0,26,1,7,2.1666666666666665,73.0,80.0,53,96,5,0,10,160,80,49,28,True,80
35,59.0,20,1,7,1.4285714285714286,73.0,80.0,48,99,6,0,13,160,80,50,20,True,80
36,60.0,15,1,3,1.1538461538461537,73.0,80.0,44,105,4,2,13,160,80,38,20,True,80
37,59.0,24,1,9,1.5,75.0,80.0,40,104,8,0,16,160,80,49,25,True,80
38,61.0,30,1,21,3.75,69.0,80.0,31,110,3,0,7,160,80,47,31,True,80
39,59.0,30,1,9,2.5,71.0,80.0,49,98,4,0,8,160,80,48,25,True,80
40,79.0,36,1,21,3.6,89.0,100.0,61,115,6,0,9,200,100,65,14,True,100
41,77.0,22,1,7,1.375,93.0,100.0,47,122,9,0,15,200,100,63,38,True,100
42,78.0,21,1,5,1.2352941176470589,95.0,100.0,82,99,5,0,17,200,100,65,11,True,100
43,79.0,54,1,39,3.375,95.0,100.0,61,114,8,0,16,200,100,62,37,True,100
44,78.0,19,1,9,1.7272727272727273,89.0,100.0,41,137,8,0,11,200,100,57,38,True,100
45,78.0,25,1,7,1.3157894736842106,97.0,100.0,75,111,1,0,19,200,100,57,25,True,100
46,77.0,24,1,9,2.0,89.0,100.0,51,135,7,0,11,200,100,51,27,True,100
47,78.0,16,1,1,1.0,94.0,100.0,45,132,10,0,17,200,100,56,33,True,100
48,79.0,20,1,3,1.25,95.0,100.0,45,132,7,0,14,200,100,59,36,True,100
49,77.0,17,1,1,1.0,94.0,100.0,49,127,8,0,18,200,100,57,39,True,100
50,173.0,42,1,25,2.3333333333333335,191.0,200.0,186,167,5,0,17,400,200,141,13,True,200
51,171.0,86,1,67,4.3,191.0,200.0,165,180,11,0,20,400,200,137,36,True,200
52,173.0,84,1,65,4.2,193.0,200.0,166,180,12,0,20,400,200,134,32,True,200
53,172.0,39,1,17,1.8571428571428572,193.0,200.0,208,142,10,0,20,400,199,153,11,True,200
54,172.0,61,1,37,2.44,197.0,200.0,177,171,10,0,25,400,200,144,19,True,200
55,172.0,119,1,83,5.666666666666667,193.0,200.0,169,174,12,0,19,400,200,134,37,True,200
56,171.0,84,1,49,4.2,191.0,200.0,167,183,11,0,18,400,200,139,33,True,200
57,173.0,68,1,43,3.4,193.0,200.0,179,169,10,0,18,400,200,140,25,True,200
58,173.0,18,1,1,1.0,191.0,200.0,152,174,9,0,19,400,200,134,48,True,200
59,172.0,21,1,1,1.0,193.0,200.0,63,281,10,1,22,400,200,127,67,True,200
60,464.0,581,1,381,18.741935483870968,495.0,500.0,166,508,28,0,30,1000,479,386,221,True,500
61,466.0,31,1,3,1.0689655172413792,495.0,500.0,543,293,7,0,32,1000,494,388,60,True,500
62,465.0,118,1,57,4.214285714285714,493.0,500.0,498,288,17,0,29,1000,486,396,52,True,500
63,465.0,296,1,135,10.571428571428571,493.0,500.0,440,351,31,0,24,1000,482,380,125,True,500
64,466.0,239,1,177,9.56,491.0,500.0,479,305,26,0,23,1000,481,375,144,True,500
65,466.0,509,1,431,20.36,491.0,500.0,136,524,27,0,23,1000,488,397,216,True,500
66,466.0,229,1,127,9.956521739130435,489.0,500.0,115,520,20,1,29,1000,492,413,218,True,500
67,465.0,400,1,299,15.384615384615385,491.0,500.0,186,489,23,0,24,1000,485,387,242,True,500
68,464.0,184,1,139,6.571428571428571,492.0,500.0,466,321,15,0,25,1000,490,397,116,True,500
69,467.0,65,1,41,2.6,492.0,500.0,170,482,26,0,26,1000,494,388,260,True,500
